layer_idx,same_before,cross_before,same_after_0224a,cross_after_0224a,delta_same,delta_cross,noise_before,noise_after
0,0.2546211996726042,0.5098132694481019,0.2545671056916585,0.5100120159669167,-5.4093980945690845e-05,0.00019874651881479632,0.7453788003273958,0.7454328943083415
1,0.774998545061648,0.8580510348531801,0.7626155090320901,0.8486341442579963,-0.012383036029557926,-0.009416890595183802,0.225001454938352,0.23738449096790992
2,0.7551422280944193,0.8624460610042672,0.6159964638890666,0.7796474373882324,-0.13914576420535274,-0.08279862361603485,0.24485777190558067,0.3840035361109334
3,0.5955075963741798,0.7837330898377379,0.5543189992294993,0.7583137577266287,-0.04118859714468048,-0.02541933211110925,0.4044924036258202,0.44568100077050066
4,0.893931886457411,0.9487388571859148,0.9432221342141491,0.9773930942378998,0.04929024775673818,0.028654237051985,0.10606811354258905,0.05677786578585087
5,0.937353436569087,0.9741043062817317,0.9364279703151992,0.9710447223806277,-0.0009254662538877856,-0.003059583901104057,0.06264656343091302,0.0635720296848008
6,0.8444988527636949,0.920380226046027,0.9629578696521399,0.9820564445479744,0.11845901688844507,0.06167621850194738,0.15550114723630515,0.03704213034786008
7,0.9142901770093106,0.9606239572623833,0.9065119271333011,0.9579422390248387,-0.007778249876009502,-0.0026817182375445947,0.08570982299068941,0.09348807286669891
8,0.8031269109429005,0.9057285872278983,0.9022555067780315,0.9631687925555635,0.099128595835131,0.05744020532766525,0.19687308905709955,0.09774449322196854
9,0.861399845052882,0.9292034827464407,0.6257058747517442,0.865768560696842,-0.2356939703011378,-0.06343492204959866,0.13860015494711797,0.3742941252482558
10,0.972346149760553,0.9878265150043105,0.9546025826773143,0.9797149031230847,-0.017743567083238654,-0.008111611881225778,0.027653850239446998,0.04539741732268565
11,0.6739619277157776,0.8381249476705084,0.6898645031110324,0.8481565056496024,0.01590257539525486,0.010031557979094052,0.32603807228422244,0.3101354968889676
12,0.8364883340334073,0.9188333623185491,0.735255842829054,0.8802945861948923,-0.10123249120435329,-0.03853877612365675,0.16351166596659272,0.264744157170946
13,0.9732687922587199,0.9871730338366843,0.9171103694648082,0.9662832532376727,-0.0561584227939117,-0.020889780599011587,0.026731207741280127,0.08288963053519183
14,0.9131183365405674,0.9337260501082465,0.8652907541892503,0.9197754755704969,-0.04782758235131712,-0.013950574537749616,0.0868816634594326,0.13470924581074972
15,0.9919275752732275,0.9958707785722059,0.9877710666317746,0.9936128378978252,-0.004156508641452894,-0.0022579406743806762,0.008072424726772498,0.012228933368225392
16,0.7989807764494803,0.7819721517058479,0.2893305429193831,0.7097542247640599,-0.5096502335300972,-0.07221792694178797,0.2010192235505197,0.7106694570806169
17,0.852624864302826,0.8151992612853611,0.8652542864300616,0.8641494466636054,0.012629422127235612,0.04895018537824425,0.14737513569717398,0.13474571356993836
