layer_idx,same_speaker_cos,cross_speaker_cos,speaker_invariance_score,speaker_separability_score,noise_sensitivity,content_shared_score
0,0.2546211996726042,0.5098132694481019,0.2546211996726042,0.0,0.7453788003273958,0.5098132694481019
1,0.774998545061648,0.8580510348531801,0.774998545061648,0.0,0.225001454938352,0.8580510348531801
2,0.7551422280944193,0.8624460610042672,0.7551422280944193,0.0,0.24485777190558067,0.8624460610042672
3,0.5955075963741798,0.7837330898377379,0.5955075963741798,0.0,0.4044924036258202,0.7837330898377379
4,0.893931886457411,0.9487388571859148,0.893931886457411,0.0,0.10606811354258905,0.9487388571859148
5,0.937353436569087,0.9741043062817317,0.937353436569087,0.0,0.06264656343091302,0.9741043062817317
6,0.8444988527636949,0.920380226046027,0.8444988527636949,0.0,0.15550114723630515,0.920380226046027
7,0.9142901770093106,0.9606239572623833,0.9142901770093106,0.0,0.08570982299068941,0.9606239572623833
8,0.8031269109429005,0.9057285872278983,0.8031269109429005,0.0,0.19687308905709955,0.9057285872278983
9,0.861399845052882,0.9292034827464407,0.861399845052882,0.0,0.13860015494711797,0.9292034827464407
10,0.972346149760553,0.9878265150043105,0.972346149760553,0.0,0.027653850239446998,0.9878265150043105
11,0.6739619277157776,0.8381249476705084,0.6739619277157776,0.0,0.32603807228422244,0.8381249476705084
12,0.8364883340334073,0.9188333623185491,0.8364883340334073,0.0,0.16351166596659272,0.9188333623185491
13,0.9732687922587199,0.9871730338366843,0.9732687922587199,0.0,0.026731207741280127,0.9871730338366843
14,0.9131183365405674,0.9337260501082465,0.9131183365405674,0.0,0.0868816634594326,0.9337260501082465
15,0.9919275752732275,0.9958707785722059,0.9919275752732275,0.0,0.008072424726772498,0.9958707785722059
16,0.7989807764494803,0.7819721517058479,0.7989807764494803,0.017008624743632406,0.2010192235505197,0.7819721517058479
17,0.852624864302826,0.8151992612853611,0.852624864302826,0.03742560301746489,0.14737513569717398,0.8151992612853611
