layer_idx,module_path,stage,same_speaker_clean_material_cos,cross_speaker_same_material_utt_cos,noise_sensitivity,speaker_identity_score,content_shared_score,temporal_detail_score_norm
0,encoder.model[0],stem,0.2546211996726042,0.5098132694481019,0.7453788003273958,0.0,0.5098132694481019,0.0034291674151407923
1,encoder.model[1].block[1],residual,0.774998545061648,0.8580510348531801,0.225001454938352,0.0,0.8580510348531801,0.015824995686147245
2,encoder.model[1].block[3],residual,0.7551422280944193,0.8624460610042672,0.24485777190558067,0.0,0.8624460610042672,0.024285257136102568
3,encoder.model[1].shortcut,residual,0.5955075963741798,0.7837330898377379,0.4044924036258202,0.0,0.7837330898377379,0.016121586526741588
4,encoder.model[3],downsample,0.893931886457411,0.9487388571859148,0.10606811354258905,0.0,0.9487388571859148,0.0950114609749564
5,encoder.model[4].block[1],residual,0.937353436569087,0.9741043062817317,0.06264656343091302,0.0,0.9741043062817317,0.2547599835757822
6,encoder.model[4].block[3],residual,0.8444988527636949,0.920380226046027,0.15550114723630515,0.0,0.920380226046027,0.3297278362876625
7,encoder.model[4].shortcut,residual,0.9142901770093106,0.9606239572623833,0.08570982299068941,0.0,0.9606239572623833,0.07175465278860739
8,encoder.model[6],downsample,0.8031269109429005,0.9057285872278983,0.19687308905709955,0.0,0.9057285872278983,0.5243662518006269
9,encoder.model[7].block[1],residual,0.861399845052882,0.9292034827464407,0.13860015494711797,0.0,0.9292034827464407,0.6867460028249593
10,encoder.model[7].block[3],residual,0.972346149760553,0.9878265150043105,0.027653850239446998,0.0,0.9878265150043105,0.2921337432020961
11,encoder.model[7].shortcut,residual,0.6739619277157776,0.8381249476705084,0.32603807228422244,0.0,0.8381249476705084,0.17365733552540827
12,encoder.model[9],downsample,0.8364883340334073,0.9188333623185491,0.16351166596659272,0.0,0.9188333623185491,0.18498905885430472
13,encoder.model[10].block[1],residual,0.9732687922587199,0.9871730338366843,0.026731207741280127,0.0,0.9871730338366843,0.1302377017542599
14,encoder.model[10].block[3],residual,0.9131183365405674,0.9337260501082465,0.0868816634594326,0.0,0.9337260501082465,0.02622947172842977
15,encoder.model[10].shortcut,residual,0.9919275752732275,0.9958707785722059,0.008072424726772498,0.0,0.9958707785722059,0.04224642575652886
16,encoder.model[12],downsample,0.7989807764494803,0.7819721517058479,0.2010192235505197,0.017008624743632406,0.7819721517058479,0.0012291479549587088
17,encoder.model[15],projection,0.852624864302826,0.8151992612853611,0.14737513569717398,0.03742560301746489,0.8151992612853611,0.0011114792455983523
